year,rating,review
2023,5,"This app is great! But I have a suggestion. It would be great if rather than searching for flights from specific cities/airports, I have the option to search for flights all airports in a specific area. For example, I live in Philly but I am more than willing to drive to EWR, JFK, IAD etc if those airports have a better deal. Being able to search airports within 100 miles of where I am would be a game changer."
2021,3,"Upon updating the app, it appears that a lot of the previously removed functionality has been returned to the app. Estimated prices in the date window are back, although somewhat less expansive that I would hope (and fewer than appear using google flights). The bar graph view is not here though, which is disappointing. The explore feature doesn't feel streamlined and feels a little too ""curated"" for my liking. Estimated prices for suggested travel cities don't show up in the explore page."
2020,1,"The latest version as of 25DEC2020 is absolute garbage. Can't search a range of dates, can't find an option to search anything other than one way, and can no longer even get a price on the month view, just a series of colored dots with no explanation of what they represent. This is a classic case of trying to fix what isn't broken. This is a garbage update that I am proud to say will drive me to uninstalling unless it's reverted and never looking back. I've used this app since 2012/13, no more."
2020,1,"The New View is Terrible! Primarily for esthetics and functionality, please return to the previous format. Feels like an MS-DOS search. This was the best app for finding destinations. Part of the selection process involved seeing pictures of the destinations/prices and plugging in timeframes based on that. Now you dont see any of those things. Takes you straight to a calender??? The whole purpose of the app is to not HAVE to choose a date for your vacation."
2021,1,"Years ago, I found great flights on this app. I travel US to Europe. Now, all the cheapest providers that pop up are some BS companies nobody has ever heard of, with lots of negative reviews. No thank you. This app is now nothing but a waste of time. Uninstalling. Here's a tip: Every time I have flown for the last twenty years or so, Expedia has had the best deals and I booked through them. (For me, it's regular flights, no hotel or car, no last minute or standby.) Always a great experience."
2023,1,Out dated App. I used to use this as my go to flight search for booking overseas. I would promote it with my family and friends for years. Then this past year- year n half it's gone downhill. It claims I can get a flight for X amount when I click to book suddenly doubles or triples in price. Never did that before. I don't trust it anymore and honestly have just been using other mainstream apps since those work. Gave up after the mainstream ones gave better deals. Sorry Sky scanner.
2021,1,"Horrible, horrible app. App going down the drain since last few years. Can't even set ""Departing From"" other than your specific location? What happens if you're checking flights for your parents or someone's else by using a different city to depart from and not your current location? App becomes totally useless. Also, a me of the vendors listed in the the search results are bunch of scammer. Horrible, horrible app."
2021,1,"Skyscanner used to be the only place I'd even look for flights (after lot sof experience of it being the best every time I compared results) but the redesign they did, I guess in the last year is awful. All the good filtering options are gone. It's slow and confusing,l. I literally can't even figure out what currency it's showing me prices for. It's completely awful now and I don't know how this got approved to be done."
2019,1,This app is really convenient until you find out that they charge different people different prices for no reason. Any flight my girlfriend searches will have a list of flight prices and times. When I search the EXACT SAME FLIGHTS I am charged at least 200 more and at least 10 hours more of travel. I've tried to contact these people but their phone number is very well hidden. I do not know why I am being over charged for the exact same flights or why my searches do not yield the same results.
2019,1,"Could be a good app but the prices on my saved trips doesn't update & hasn't since I created them. Everytime I open the app, it shows the same price from 30 days ago. I don't see any feature to refresh it other than clicking into the trip & hitting check prices. Even after doing so, the price on the trip page still reflects 30 days ago. I thought the app would automatically refresh the prices on the saved trip page without having to click into it. Uninstalled."
2019,5,"Fantastic app. The UI is clean and the filters are unusually powerful for a mobile app. My only complaint is that I wish the desktop site showed the plane type and features the same way the app does. I like to fly larger planes if possible, so knowing if my flight legs are going to be on a 737 or a 777 matters to me, and that isn't something I can see on the desktop website."
2021,2,"Really good app idea but everytime it shows me a low flight price in the explore section and then I click on it, the actual price is much more expensive which makes it pretty much useless... Also, it would be nice if I could select flexible dates. For example, I could select the start date and end date of my spring break and then have it show me all the cheapest flights within those dates whether it be a 3 day trip, 5 day trip, or a trip for the whole week."
2021,1,the app has evolved away from what attracted me to it many years ago. I used to enjoy planning my vacations with the graph pricing feature. it made my decisions easy and affordable. the apps current interface is more limited and confusing. will probably seek other options since prices are relative and ease of discovery and purchase are my most important concerns.
