,year,rating,review,roberta_neg,roberta_neu,roberta_pos
8730,2016,5,Once again one of the best UI and easy to navigate app.One of my best and will be the best app ever.,,,
8731,2016,5,This app make it easy for you to look for the cheapest Ticket for your desired destination.,,,
8732,2016,5,You can find tickets for a cheap prices  is really  good .,,,
8733,2016,1,New version unusable. Please scrap and revert to previous version.,,,
8734,2016,5,Always giving the cheapest price comparing to many other apps.,,,
8735,2016,5,Easy to use happy with booking the flights still got a couple of flights to book,,,
8737,2016,1,Unusable and frustrating. Please revert to old form,,,
8738,2016,5,Very useful ad save a time looking for the best airfare,,,
8739,2016,5,Only be better if you could choose fights  separately,,,
8740,2017,5,Is the best thing when you want a fast and cheep serch,,,
8742,2016,1,"I'm going to try and download the update... but am still gutted they decided to ruin a great App. After updating I have not been able to use the this app. It's UI is so NOT user friendly! I'm only going to try this update out because let's face it, it can't get any worse. I had to forcibly download the newer version of the app because all the apps off my phone were deleted.... yes just tried it out and I am now deleting this App.",,,
8743,2016,1,"This app was an amazing app that allowed you to look into the future and find nuggets, amazing deals and really separate itself from Expedia or Travelocity because it was unique in its search feature. But with this newest update it has completely ruined the gem that it was, it has become nothing more than your average travel app now... if they dont restore the search feature it use to have.. I will go back to google flights...",,,
8744,2016,1,"Hate this new update! I used to be able to see all the cheapest international flights in a list, and now it's gone! I loved being able to plan trips to other countries and seeing the best deals, and now the feature is gone! I will wait till the next update before I delete to see if the best features of this app, the whole reason i used this app and recommended it to others, come back.",,,
8745,2016,4,"It's getting better compared to last update. At least the developer responds. Graph option is top right corner on select a date (mini tutorial would be cool to have to show changes, I thought the graph was gone still). More one-way options would be nice, or multiple departure days, rather than re-searching each day. I like the rating system, good to know... Keep it up, will be back at it as top travel search app...",,,
8746,2016,2,"I personally don't like the new interface at all. It used to be so much better. I have bought so many tickets to places I didn't think about based on where and when to go, and let Skyscanner offer me options. Now has totally changed. Nothing special from any other app. Maybe the only interesting addition is the deals option, but not as easy to use as it used to be. Sorry, but if you don't bring back the classic option, I am out",,,
8747,2016,1,"Nope. I thought you guys were going to revert bacj but no. Still sucks. I want the old app that you would show cheapest flight from everywhere, and then shows the price range for the span of 6 months, and then show it in graph how it would fare everyday. Just like before. Its the only reason i buy tickets even when i dont consider buying. It used to be so simple, so great. What happened? You guys change programmer or something? The old one WAS PERFECTION. No other app is better than that one!",,,
8748,2016,1,"Do NOT use this App. Use the website on your mobile as it provides classic filters.  App has lost its special feature of being able to view the price of flights on the graph/chart. I will keep the app until the next update. Maybe get a new development team as clearly they have broken an app that did not need fixing? Why fix/update an App that was fulfilling its service? User Friendliness 5, APP Features 1, Development Team 0. Bring back classic features such as filter by flight time just like mobile website",,,
8749,2016,2,UPDATE - I uploaded the app again since I saw the response to my review. I still can't do what I want. I used to be able to pick a departure airport and choose a destination and could find the cheapest dates to travel between the two destinations. I don't see where I can do this anymore. It forces me to enter specific dates now. I miss this feature and will look for another app that does this.,,,
8750,2016,1,"This app used to be amazing, you could search flights easily and amend your search filters. You could see a month worth of flights to choose the best option for you. They have clearly tried to make the app more aesthetically pleasing but lost the user friendliness of the app. Why fix what was working fine? I will be using a different app for searching for low cost flights, in the mean time I hope the developers fix their app...",,,
8751,2016,1,"Was 5 stars, now 1 star. Unless I cannot see it but where are the options to apply certain dates? If it is there somewhere the UI has become crap. Yes the minimal GUI's for those on low data plans (you would get more visitors, big hint) but I feel standards have dropped. Sorry SkyScanner programmer (wo)man, I know you can do better! How do I go back a version please?",,,
8752,2016,1,"This app used to be my go to for all family holidays. It's now so bad I have to look elsewhere for lowest prices. It used to have all deals but now only has base fares (no deals). The search everywhere only brings up a few flights and these are not places I want to go or have ever searched. If it continues like this, I will have to delete the app!!!",,,
8753,2016,1,"Searching used to have heaps of flexibility. Edited my feedback from 5 stars (previously highly impressed) to 2 stars, now to 1 star due to many of the bkg agents listed here undercut ticket prices direct from the airlines, making it more expensive for your average traveller. And then when you go through the whole process of entering your credit card details and purchasing tickets, there is no garantee that those tickets were even available. A typical greedy set up of mostly 'middle men' taking a fee.",,,
8754,2016,1,"I used to have this app in the past and it WAS good. I just installed it on my new phone and the experience is very disappointing indeed. The great feature that made this app so good,  the graphical flight prices over the month is gone. Maybe now it's just a commercial app paid for by airline advertising money? How else could it go from best to worse? I would rate it zero stars if I could.",,,
8755,2016,1,"This was an excellent app, very functional allowing whole month searches and letting you refine results down by country. All gone in the recent updates, replaced with useless pictures meaning you have to scroll and scroll to get anywhere. Now it's only usable if you have a fixed destination in mind, as ""Everywhere"" search results mean you have to scroll through every domestic combination first, pages and pages of results you don't want to see - bring back country-led results for ""everywhere"" searches.",,,
8756,2016,2,"I can search the cheapest flights across the whole month! Awesome app, I'll be saving so much money now. Thanks!  Edit (1/9/16): App has gotten confusing and less organised in recent update. Much harder to find a good flight. Overall experience is much worse than before. Probably not worth downloading any now.",,,
8757,2016,1,"This app used to be great. The new update has removed simple list and search features and replaced them with pretty pictures. 'Top picks' don't reflect my top picks and every time I open the app now, it's stuck on a search I did once ages ago rather than my home airport like it used to.",,,
8758,2016,1,"Old interface and app were superb.Now uninstalling.  Update. You don't seem to understand the majority of one star ratings, do you? Bring back the old version, this ""TopDeals"" pushing has nothing to do with what the app is supposed to do. Besides, the monthly chart is nowhere to be found, nothing in the top right corner.",,,
8759,2016,2,"The old version was so simple and easy to use. This one seems to be more ""modern"" but it has to many problems. Sometimes I can not see the price day by day in a whole month and in the older version was really useful the option everywhere because you could see the countries with the cheapest flights prices",,,
8760,2016,1,We need back previous version as it were predicting rates month and dates wise... secondly please dont follow make mytrip prices as i found last month wrong prediction offering 5100rs ccu to dxb. Thats a false.  This is cheat company.,,,
8761,2016,2,"I gave this app 5 stars 2 yrs ago.I dont understand the need to constantly change apps.It was fine the way it was. As soon as you make yourself familiar with a change, along comes another update to annoy and confuse. I will be using something else until you come to your senses...",,,
8762,2016,3,"I want to avoid booking the wrong airline when the airline has a codeshare. Can be very confusing, previously it has the 'operated by' detail for flights. Otherwise good app but pls make it simple to use,not too many update that it has become an inconvenience.",,,
8763,2016,1,"This used be one of the best, clear, fast and easy to use. Now I honestly can't work out how to use it. Just tried to get a price on a one-way flight - seems impossible. Please revert to the old version it was great.",,,
8764,2016,2,"Generically boring app.. Slowly losing its appeal as it would few years back. We love simpleness but now,  complicated mehh. Will hold on until 2 updates.",,,
8765,2016,1,"Used this app a long time to search for flights and the best time to book. Now you've gone and ruined it, won't be using again until it's fixed! Please fix it soon, I loved it with the future prices!",,,
8766,2016,1,"Just installed the update, very bad user interface design none of the easy functions available. No simple way to select direct flights. Developers need to listen and revert to the old interface.",,,
8767,2016,4,It's able to help find the right flight I need. Only part that confuses me is the date. I'm not sure what timezone the flight will follow... is it my timezone or the country where I will arrive and depart from?,,,
8768,2016,2,"By default, the app set a fixed period.  If you want to change the dates, it will take a while to work it out. I would like something easier and more user friendly.",,,
8769,2016,3,Good for finding flights but I've never been able to go all the way thru with a booking. I have had to go to an airport airline desk or by the time you click on it the offer is gone or not valid. Good for flight information tho.,,,
8770,2016,3,"Why change such a good app? You can find what you need now, but is hard to remember where to find the graphs.  Still use the old version on my other device.",,,
8771,2016,1,I used to really love this  app and recommended it to everyone.  Since the change and amalgamation of flights and hotels it is awful.  I will be using a different app in the  future but really hope this can be reverted back to the original and best....  Please please please!,,,
8772,2016,5,"Bringing back your old options makes this App very useful again. Thx for listening to the users. Maybe instead of adding some stuff at random in the future, send a survey? I'm sure that quite a few travellers have some ideas what to add. I would like multi-stop,  or some sort of circle where starting and finishing point is the same, you choose how many stops you would like over what time...",,,
8773,2016,1,"Been using Scanner App for a few years and now changing to something else. Too many prompts to log in, don't want to book holidays or cars only flights - clues in the title skyscanner!",,,
8774,2016,2,The whole of month feature is why o used SkyScanner over other booking companies. You can still do it on the desktop app but it'd be good to see on mobile. I'm sure it used to be?!,,,
8775,2016,4,"App is very nice and easy to use. Though i found one problem. When u select the destination then it will propose some dates automatically. But there is no way to select new dates. I have to select the proposed date and then on the next screen, i need to edit the change.",,,
8776,2016,1,Used to love this app. They seem to have missed the ball. Used to be able to see monthly flights with the cost. Now? Where is it gone. Ah well it was good while it lasted.,,,
8777,2016,1,"Very frustrated with he new version, can't compare prices on different days as easily, generic searches don't bring up cheap flights, you have to put multiple specific searches in, massive pain, no longer using.",,,
8778,2016,1,Where can I manage Single / Return flights? Where can I manage the desired flight date? Sorry but the new update is a mess... :-( Why change it when the old one was easy and straight forward...?,,,
8779,2016,1,Was a lot better when you could the  find. The cheapest flight by the month and not by date can you add this thanks for fast reply still like to see all price shown on graff table,,,
8780,2016,1,I can't find flights easily. The old version of this app was more useful than the new version. I used to like the old one. Please check it and renew.,,,
8781,2016,5,Much cleaner than the web-based version. Extremely pleased. Great job!! Sept 3 2016 update: I have used this app in so many corners of the world and still works great!,,,
8782,2016,2,"The app stopped letting you search open dates, or specific dates at all. You MUST choose a specific set, like a week one or two weeks out. Pretty much makes it useless",,,
8783,2016,2,Since the update the features I liked that no other app seemed to have have disappeared. Back to the browser or someone else's app for now. No longer special 😕,,,
8784,2016,5,Gets best deals and with price alerts you can track prices up and down. Recommend to everyone I know. Love it and saves stacks of time.,,,
8785,2016,1,Update is a disaster. Happily used Skyscanner for 2 years. Been struggling with update but giving up. Dreadful. Will look for an alternative app.,,,
8786,2016,3,The old skyscanner apps seems much more focus on the flight search and the interface seems better especially the month view graph which used to be clearer and easy to identify cheaper fare.,,,
8787,2016,1,Used to be a great app could see all prices for month ahead and book flights based on this.The old version was class. Seriously bring back the old App.,,,
8788,2016,5,Thank you developers.. Appreciate it to the core and keep up this awesome app for travelers... it's our life saver,,,
8789,2016,2,The updated app is difficult to use. Used to be much better. Easier to compare flights over a whole month and to select direct flights only.,,,
8790,2016,4,Top Flight Deals show prices which cannot be found when one opens the list of flights. I'm still using it allways when planning a new trip.,,,
8791,2016,1,This was a 5 star app with a perfect search function but this new update is clumsy and poorly thought out. Please bring back the previous version of this app.,,,
8792,2016,1,"This app has become a real dog. I'm sure there is a way to select dates, but I can't find it. It used to be so intuitive.",,,
8793,2016,1,New version is not very intuitive. Used to love the previous version. Also gives me constantly a connection error.,,,
8794,2016,4,Good app or website to find cheap good flights. Organized and clean interface. Works for me.,,,
8795,2016,5,"I think this GUI is better than the desktop version, especially as it remembers different trips to the same destination. Love the Happiness rating too 😊",,,
8796,2016,5,The app. seems to be very user friendly & it does exactly 'what it says on the box'. The ability to sort by time of flight is also very useful.,,,
8797,2016,1,Updates during last year have ruined the app. Slow and annoying. Switching to Kayak.,,,
8798,2016,1,Has been gone and sincerely I don't understand why???? How can you destroy on purpose such a great tool. It's really sad!!!!!!.,,,
8799,2016,4,Since desktops time I always used skyscanner to find cheapest flights. This apps make it lots easier now!,,,
8800,2016,5,"Loved this app since I started using it!  As a student abroad I love the ""everywhere"" feature when looking for the cheapest flights!",,,
8801,2016,1,You updated the app again and it's the same problem as last time. You can't change destination and search properly. Please fix,,,
8802,2016,5,Great app. Give you every deal from all sites and including almost all of the airlines. Nice work,,,
8803,2016,5,"Well, they fixed every single thing that I was disappointed that they had changed and they actually made it easier to read! Amazing! Skyscanner is #1 in my list again!",,,
8804,2016,1,New update has ruined the usefulness and handiness of choosing a flight based on ones budget  rather than a specific date,,,
8805,2016,5,Love this app. It's easy to use and the alert lets me get the flights I want at great prices,,,
8806,2016,4,"Never used this app before, but missing the multi search flight option. Had a reply from the developers, they're working on it.",,,
8807,2016,3,Before i could search from a destination to anywhere with any dates not anymore now i have to put dates in. I just want to see if there is any great deals i could take advantage of im not searching for somwthing in particular but now i cant just do that its crap compared to before,,,
8808,2016,1,This new version has destroyed the app. What were they thinking putting out a half baked app!?,,,
8809,2016,1,"This app used to be amazing why have they changed it, I will use something better now. Bring Back the old clean search with monthly search etc",,,
8810,2017,1,Love the site but app has half its features. Can't do multi and single way???,,,
8811,2016,5,"Thank you so much for providing such a useful tool, in such an easy to use and manageable interface.",,,
8812,2016,5,"I have tried other similar apps and ended up uninstalling them. Now, I only use this application for   information on available flights and pricing.",,,
8813,2016,4,Gives you great price ranges depending on your preferentes. Quick searches and constantly updated.,,,
8814,2016,5,Easy to use. Much easier to find best prices from one site that searches best rates for you!,,,
8815,2016,2,Disappointed that the option for bieng able to view monthly has gone. Was so much easier. Why ruin a good thing,,,
8816,2016,1,"Why keep changing something what was good, you make it worse every time, you can't even search dates anymore !! What a pile of garbage",,,
8817,2016,5,The new app is visually amazing and still very user friendly. Love using it!,,,
8818,2016,5,I saved 400 dollars by finding a flight that my travel agent couldn't find using this app.,,,
8819,2016,5,"Clean UI, offers lots of savings, and never crashes! I love this app.",,,
8820,2016,5,Only missing multi trip price watch but works great for everything else,,,
