year,rating,review,roberta_neg,roberta_neu,roberta_pos
2023,5,"This app is great! But I have a suggestion. It would be great if rather than searching for flights from specific cities/airports, I have the option to search for flights all airports in a specific area. For example, I live in Philly but I am more than willing to drive to EWR, JFK, IAD etc if those airports have a better deal. Being able to search airports within 100 miles of where I am would be a game changer.",-2.366166830062866,0.04175825044512749,2.773423671722412
2021,3,"Upon updating the app, it appears that a lot of the previously removed functionality has been returned to the app. Estimated prices in the date window are back, although somewhat less expansive that I would hope (and fewer than appear using google flights). The bar graph view is not here though, which is disappointing. The explore feature doesn't feel streamlined and feels a little too ""curated"" for my liking. Estimated prices for suggested travel cities don't show up in the explore page.",1.4275075197219849,0.1386113315820694,-1.7490990161895752
2020,1,"The latest version as of 25DEC2020 is absolute garbage. Can't search a range of dates, can't find an option to search anything other than one way, and can no longer even get a price on the month view, just a series of colored dots with no explanation of what they represent. This is a classic case of trying to fix what isn't broken. This is a garbage update that I am proud to say will drive me to uninstalling unless it's reverted and never looking back. I've used this app since 2012/13, no more.",2.564242362976074,-0.4127853512763977,-2.259641647338867
2020,1,"The New View is Terrible! Primarily for esthetics and functionality, please return to the previous format. Feels like an MS-DOS search. This was the best app for finding destinations. Part of the selection process involved seeing pictures of the destinations/prices and plugging in timeframes based on that. Now you dont see any of those things. Takes you straight to a calender??? The whole purpose of the app is to not HAVE to choose a date for your vacation.",0.8170503973960876,0.057150714099407196,-0.8829520344734192
2021,1,"Years ago, I found great flights on this app. I travel US to Europe. Now, all the cheapest providers that pop up are some BS companies nobody has ever heard of, with lots of negative reviews. No thank you. This app is now nothing but a waste of time. Uninstalling. Here's a tip: Every time I have flown for the last twenty years or so, Expedia has had the best deals and I booked through them. (For me, it's regular flights, no hotel or car, no last minute or standby.) Always a great experience.",-0.7486560940742493,-0.2638917565345764,1.354573369026184
2023,1,Out dated App. I used to use this as my go to flight search for booking overseas. I would promote it with my family and friends for years. Then this past year- year n half it's gone downhill. It claims I can get a flight for X amount when I click to book suddenly doubles or triples in price. Never did that before. I don't trust it anymore and honestly have just been using other mainstream apps since those work. Gave up after the mainstream ones gave better deals. Sorry Sky scanner.,1.5920790433883667,0.06626579910516739,-1.7663904428482056
2021,1,"Horrible, horrible app. App going down the drain since last few years. Can't even set ""Departing From"" other than your specific location? What happens if you're checking flights for your parents or someone's else by using a different city to depart from and not your current location? App becomes totally useless. Also, a me of the vendors listed in the the search results are bunch of scammer. Horrible, horrible app.",3.4039382934570312,-0.6974814534187317,-2.786796808242798
2021,1,"Skyscanner used to be the only place I'd even look for flights (after lot sof experience of it being the best every time I compared results) but the redesign they did, I guess in the last year is awful. All the good filtering options are gone. It's slow and confusing,l. I literally can't even figure out what currency it's showing me prices for. It's completely awful now and I don't know how this got approved to be done.",2.183725357055664,-0.2815878689289093,-1.9955570697784424
2019,1,This app is really convenient until you find out that they charge different people different prices for no reason. Any flight my girlfriend searches will have a list of flight prices and times. When I search the EXACT SAME FLIGHTS I am charged at least 200 more and at least 10 hours more of travel. I've tried to contact these people but their phone number is very well hidden. I do not know why I am being over charged for the exact same flights or why my searches do not yield the same results.,1.450934648513794,0.10191165655851364,-1.5779814720153809
2019,1,"Could be a good app but the prices on my saved trips doesn't update & hasn't since I created them. Everytime I open the app, it shows the same price from 30 days ago. I don't see any feature to refresh it other than clicking into the trip & hitting check prices. Even after doing so, the price on the trip page still reflects 30 days ago. I thought the app would automatically refresh the prices on the saved trip page without having to click into it. Uninstalled.",1.0099862813949585,0.24106159806251526,-1.399090051651001
2019,5,"Fantastic app. The UI is clean and the filters are unusually powerful for a mobile app. My only complaint is that I wish the desktop site showed the plane type and features the same way the app does. I like to fly larger planes if possible, so knowing if my flight legs are going to be on a 737 or a 777 matters to me, and that isn't something I can see on the desktop website.",-0.569950520992279,0.18142645061016083,0.5205634236335754
2021,2,"Really good app idea but everytime it shows me a low flight price in the explore section and then I click on it, the actual price is much more expensive which makes it pretty much useless... Also, it would be nice if I could select flexible dates. For example, I could select the start date and end date of my spring break and then have it show me all the cheapest flights within those dates whether it be a 3 day trip, 5 day trip, or a trip for the whole week.",-0.19051659107208252,0.1463831663131714,0.15843038260936737
2021,1,the app has evolved away from what attracted me to it many years ago. I used to enjoy planning my vacations with the graph pricing feature. it made my decisions easy and affordable. the apps current interface is more limited and confusing. will probably seek other options since prices are relative and ease of discovery and purchase are my most important concerns.,-0.3811619281768799,0.19194059073925018,0.2482975274324417
2022,5,"I don't review often but I have to say after traveling to Greece, Georgia, Florida, and California using this app, I am one happy consumer. This may be the best app I've ever used for a few reasons. - Shows you a list of all flight combinations with specific parameters or within a time range. Filter is easy to use. - You can save a search and than save that specific trip. and it will actually notify you when the price changes. - Doesn't save your info to price gouge. 10/10 on the app👍",-2.335926055908203,-0.20211054384708405,3.070106029510498
2019,2,"So as a person who loves to travel and always travels on a budget, there's better apps and websites out there. I mostly use Expedia because they offer packages. I always travel alone (which is always pricier) but I wanted to compare prices for a trip to Dublin,Ireland for Dec 2019. Same days, same airlines,same hotel and car rental. Skyscanner was 500 dollars more than what Expedia offered. Just do your research and happy travels! 😁",-1.5843427181243896,0.19238024950027466,1.6310018301010132
2020,1,Went from the best app to use for finding cheap flights to finding the most expensive flights. 12k to fly across the country in economy. Not when I did the leg work and found the same on a different site for less than 400. Cant find out the cheapest day to fly out anymore. Some of us travel for fun.. well now you've taken out how to plan an efficient vacation and making it more leg work. I've now uninstalled this app due to the issues that have happened.,0.9581722617149353,0.14140614867210388,-1.1415964365005493
2022,5,"Unbelievable! The dev team actually implemented a feature I requested. Previously, the app didn't show the date of arrival at your destination when searching for flights. This is important when flying across different time zones. I posted a review and sent them an email and they promised to do it. I'm really thankful to them. Best travel app ever.",-1.7216134071350098,-0.43128448724746704,2.711092233657837
2020,2,I've used this app twice now and got mixed results. The 1st time was excellent. Got a round trip ticket last year no problem. This year I've tried to book and both times I get an error message. I called the airline and was told on 2 different occasions that those flights are sold out and that's why after I submit my payment that it gets kicked out. Why wouldn't Skyscanner know that flights are unavailable and why wait until you've already submitted payment? Won't use this app again.,1.4742413759231567,-0.019001662731170654,-1.4729012250900269
2020,1,"Hate it!! Go back to the way it was!! I LOVED it because we could filter by cheapest month and no other site does that! Well NOW you don't either! The site went from number 1 to useless! I used it EVERY TIME I planned to travel, just went to South Korea using this! Now it is junk!! Please restore that feature! People need to stop trying to fix things that aren't broken! Give us the old one back please!!",0.8362364768981934,-0.08220836520195007,-0.6929558515548706
2022,5,very competitive rates and the app is easy to navigate. I like getting updates sent to my phone home screen when there is a price drop. I like how the details of each flight are given and it is noted if a self transfer must occur between airports. the self transfer actually saves you quite a bit of money on flights with one or more stops.,-2.2971458435058594,-0.09036649763584137,2.8556222915649414
2020,3,"This used to be an essential part of my trip planning. The feature that set them apart from other aggregators was the map graph. You could see the pricing options and decide when to depart and when to return based on that. A powerful tool! It went from being the default view, to an option that you had to turn on, to now removed. They have forgotten their roots and what made them special. Now they are trying to compete with the other aggregations. There isn't any extra reason now to use it",0.06692883372306824,0.29083549976348877,-0.35821419954299927
2022,4,"I've always enjoyed this App & prices are nearly always available that it lists. My only complaint is about the limitations of the search everywhere feature because it gives me tons of U.S. cities because obviously they are cheaper than Itnl flts. This is annoying because I want an Intl Destination. The Best & Easiest Fix is to offer search by Continent or Region like: Europe, Asia, Africa, Australia, Pacific Islands, S. America & N. America, etc. This would really help save Time & Money!",-0.5692817568778992,0.005654488690197468,0.748233437538147
2022,1,"This is said to be the best travel search engine but the functionality is horrible. (A) half the time the SET PRICE ALERT button doesn't appear anywhere & (B) on my homescreen there's a ""4"" in a red circle on Skyscanner's app which I assume means I have 4 messages but I can't find any way to retrieve them. There's no msg button! This is frustrating when you're competition (Kayak and Hopper) always function flawlessly 100% of the time. (PLS REPLY HERE. IF U SEND A MSG IN THE APP I CAN'T OPEN). TY",1.8816922903060913,-0.15166796743869781,-1.8173844814300537
2021,1,"Why strip away all the features that made Skyscanner an excellent app? Years ago, Skyscanner was intuitive, informative, streamlined, interactive, and flexible. You could easily select ""nearby airports"" to view alternatives; ""flexible dates"" to show better fares near your search dates, or ""view entire month"" to see all known fares for each day within a month. You could set filters for flight duration, number of stops, airlines, and price. All of these features are gone. Skyscanner is dead.",-0.4521966576576233,0.2534354031085968,0.20942725241184235
2019,1,"Horrific in the US... I first learned about this app through my travels in Asia and have to say it has saved me time and money on that continent. However, in the US when I search for flights I only get the ""major"" carriers and very few if not, none of the budget carriers show up in the search. I just saved $120 on RT flights by NOT using this app",-0.291445791721344,0.18353679776191711,0.11487866938114166
2022,1,"This used to be a great app that lets you explore the cheapest flights across a wide range of locations and potential dates. It allowed you to plan a flight date and location around the cheapest option. Now the app has reduced functionality, only allowing you to enter predetermined dates and locations to search for tickets. Skyscanner, what happened?!?",-0.0715620145201683,0.28696393966674805,-0.20844008028507233
2021,3,"it was better before the update. The good thing its that now it will search roundtrip and give you results from different airlines, I use to search flights just one way to go and return so in that way I was able to find the best deals from differents airlines. The best thing from the old app was the scale graphic of prices per date now you just have the option to look in the calendar instead of this way",-2.1855897903442383,-0.018504878506064415,2.6620357036590576
2019,1,"I tried Skyscanner and found it not very good.  Plugged in a roundtrip from Local City to Washington Dulles.  Matched its results against Expedia.  This is where everything failed.  Came up with different prices and had to go way down the list to find my outgoing flight. Selected it and then return screen would only show me the same airline coming back.  Pricing was $150 higher then Expedia directly.  Seems with this scenario, it will only show same airline going and returning which in the real world is not always the cheapest fair and cheap price is not always cheapest to fly.  You have to take also into consideration now baggage fees and flight times",1.6956979036331177,0.14007143676280975,-1.9569071531295776
2019,2,"This is one of those rare situations where the app is inferior to the mobile website. While it is a pain in the butt to continue going to the website each time I want to use this service, I find the app clunky and simply not as functional. The website allows you to search flights by month and see prices for each day during that month. This app only allows viewing prices by color (red for high) similar to other flight apps such as kayak. I will continue using the website and uninstall the app.",1.803356647491455,-0.02295466512441635,-1.874053955078125
2022,2,"Prices jump if you check too many times. Edit: I realized that the issue is that the advertised price isn't consistent with the price that you're given when proceeding through the app. For instance, London to Corfu, Greece is advertised as 55 pounds. Once I click and it searches for the round trip, the price jumps to 85 pounds per person while still in the app.",1.0960602760314941,0.5237329602241516,-1.7603739500045776
2022,1,"I decided to go to a different rental car company (Nü) and different app (Expedia) because they took 1,000+ on an unauthorized charge. I decided to use Skyscanner, I found economy bookings, who uses the rent plus counter at the prague Airport. Without my consent, Nü came back to be refusing my request for the full refund with the contract I had through economybookings. I am very disappointed in Skyscanner and Expedia for being this irresponsible.",2.5435099601745605,-0.21536946296691895,-2.372690200805664
2019,5,"**Edit ** AWESOME update, devs! I was literally just wishing for the ability to find the best dates to fly back to visit family. I already love the explore anywhere feature, and Skyscanner regularly catches deals that other apps don't. I recommend this app to anyone who loves to travel, and with your newest addition I can recommended it to people who grew up elsewhere and fly home. I've had this app for years and it's awesome.",-2.2043991088867188,-0.8498147130012512,3.945927381515503
2021,1,Skyscanner was recommended to me but I couldn't figure out what the big deal was. Functioned just like any other travel app. It gave very specific dates even on the full month search (which was very hard to find btw). Instead of giving up I watched recent YouTube reviews. The positive ones only review the website. Turns out this app is lacking the main functionality of website - the month feature that shows all dates' prices in a calendar. Game changer. Not in this app at all only on site. Dumb.,1.0966142416000366,0.10963001102209091,-1.243077039718628
2021,2,"Searching is difficult. I specifically want to search flights without set dates. I know it can be done, but it's difficult to get to. Nothing in support to help. OH, and my ""trip type"" is not even an option, it only goes up to 7 days, I want 10. Basically, the search options for what I'm trying to find don't actually exist in this app.",1.6634182929992676,0.09447947144508362,-1.783439040184021
2021,2,I loved this app for years. Since the recent update I find that's its much harder to use and more difficult to find the cheapest flights possible. What happened to the estimate price on the calendar or the bar graph with estimate prices. The older format was a lot more functional. Bring it back.,-0.2912049889564514,0.022372474893927574,0.425706148147583
2020,1,"What happened to the explore option? If you wanted to find a cheap flight to anywhere, you used to be able to filter by worldwide, by cheapest month, cheapest days etc. All this is gone. It's now just a simple a flight from X airport to X airport. This is terrible. I have to go to the desktop version to use the fully functional Skyscanner",1.338064432144165,0.08916430920362473,-1.5231785774230957
2019,5,"I love this app. However, recently, when I choose explore everywhere and select a month, it won't go forward to the search. It reverts to the explore everywhere page on my android device. This feature has worked before though, so I have no doubt this glitch will be quickly fixed. The dev team for this app seems to be top notch.",-1.666055679321289,-0.31483399868011475,2.3839738368988037
2023,1,"I've gone through most reviews made about this app and support the comments. You select dates and find good deals, once you click roundtrip only, flight search results return crazy prices for one way.What happens to the good deals showing before one makes a choice of dates? Searching flights incognito doesn't help in anyway as the app still lets cookies track and alter your preferences.",0.5383478999137878,0.37128397822380066,-0.9451549649238586
2018,4,"Not all the features of the website, but still useful and handy. Try a spontaneous trip by putting in your home airport and no destination. Go where it sounds interesting and cheap. I've seen a couple great things on a long weekend or two that way that I wouldn't have normally.",-2.175663471221924,-0.3106866180896759,3.0527186393737793
2023,3,"interactions arent as expected, features in mobile and web are different and/or missing. data pulled for save trip (before booking) isn't accurate, makes the save trips feature unusable. overall, looking for flights is easy but don't expect to save any of the trips for future research or comparison because data isn't accurate or can't pull any data",1.995546579360962,0.03449821472167969,-2.1334948539733887
2023,3,"The platform is quick and easy to use however where it becomes very difficult is the indicated values for ""flights from..."" shown with each date. These never exist in reality and are usually in fact way off. As cost is the method most of us want to search by it makes it very frustrating and difficult due to the vast difference between what the app shows and is then available when you view tickets for each date. This makes the benefit of the apps date overviews essentially useless",1.068013310432434,0.19710257649421692,-1.2753642797470093
2023,3,"I'm no longer receiving updates, defeating the purpose of my use for this app. I have had to manually check the app multiple times as I'm suddenly not receiving notifications anymore. I've checked the settings, my phone has all notifications enabled and the option is ticked inside the app. The tickets for my trip have gone up or down with no updates. Considering just deleting the app and manually checking the provider directly since it would be more reliable.",1.2659856081008911,0.2678726315498352,-1.6309905052185059
2023,3,"Earlier I would give you 10* but now you are at strong 3*. The reasons are I miss a lot the price list for almost every date in axmonth in following year (now it's available only for 3-4 in advance) and the 2nd thing is the other way of choosing dates for travel,with charts/sticks. That was helping me a lot to plan all my vacations a to travel more ... Now all the apps are the same:(",-0.9019305109977722,0.5005336999893188,0.4244219958782196
2023,1,"We booked the flight ticket through HappyFares, assuming that Skyscanner had done the due diligence. We received the tickets (PNR: YJQ8SH; SG-430) with correct passengers’ details. When we reached the airport there was a mistake in my name (total 3 from my family). Due to the name difference, I did not get the boarding pass while two of my family members took the boarding pass. I was told by the agent to book the ticket and they would refund it. However, we are not even getting reply on email.",0.7147486805915833,0.60311359167099,-1.3202252388000488
2023,4,"This app is very easy and usefull to check flights, I have used it to book 2 flights now, but recently it shows self transfer and no self transfer for same flights time to time, I have booked a batik to batik transit via KUL from CMB to HKG on Oct 10 2023, next Tuesday, FLIGHT result on this app clearly showed no self transfer when I'm booking. And I checked it with 3 separate people to verify no self tranfer, NOW after several hours of payment it shows self transfer in app, I'm so lost now 🤦🙎",-0.3016408383846283,0.3626069724559784,0.02272801473736763
2023,1,I have booked a round trip fr 3 pax but havent received any conformation emial or watsapp even after the payment deduction from my bank account to interglobe aviation ltd as mentioned on the UPI request. Kindly upgrade your app n contact me as your contact no is not mentioned. Hoping to get a quick reply from your end. My flight is within 2 days,0.43490591645240784,0.6422900557518005,-1.2171449661254883
2023,2,"Really wish Skyscanner realised that allowing customers to add 'direct flights only' at the *beginning* of a search would be very useful and save searchers loads of time. Who wants a 2 hour flight that takes 30 hours with 1,2,3,4 stops - just ridiculous, but as usual Skyscanner never listen to customers and the reviews given by genuine users. Would rather see the price for direct flights NOT cheap multi stop flights.",1.019223928451538,0.16437697410583496,-1.266587734222412
2023,2,"There is a bug when saving a multi-city flight. It is saved as a return flight, where the second city gets replaced with the first city, so the flight becomes invalid when you review it.",1.6650545597076416,0.4032926559448242,-2.1055619716644287
2023,1,Doesn't have any record of the bookings and partners. You can be cheated by any provider. I am trying to change the booking but no contact for the service provider. Really unprofessional. I booked flight tickets on Oct 02 now I wish to change my booking but Indigo is asking to do it with your booking partner. Now I have no access to my booking on Skyscanner and no mail from the booking partner. So I have no clue whom to reach.,2.196303606033325,0.23010334372520447,-2.460693597793579
2023,2,The new update messed up the whole experience. Earlier we were able to see multiple options of round trip of flights for a month. Now just 1 shows,1.7341866493225098,0.16847005486488342,-1.9513715505599976
2023,1,"Lots of people around me suggested this app,I thought to give it a try.I regret that decision because this app doesn't work at first place. When you search for flights you get to know where to where and it's price but when you click on particular option it doesn't show any results.",1.5432831048965454,0.12001874297857285,-1.7237648963928223
2023,2,"I hate the new version, not convenient at all. When you just download it, it works well, but changes to a new version soon, very difficult to be used.",2.256282091140747,-0.34720906615257263,-2.0254576206207275
2023,4,"Constantly throws error while searching for the complete list of flights. Needs to be fixed ASAP as this is serving no purpose Edit: this is working as expected now, thank you",0.8952299952507019,0.1276668906211853,-1.1040806770324707
2023,1,Fraud app. Travel Date automatic change while payment..... Book carefully.. if u want video proof then ask me i will show u... Book ticket with geniune way otherwise ready for harras... There is no any contact number for this app..,1.9096717834472656,0.28122517466545105,-2.235010862350464
2023,1,"Prices in the app are 3 times higher than on the website since about 6 months. It looks like a bug, deinstalled.",1.4413495063781738,0.2477000206708908,-1.7837257385253906
2023,1,Problem is they link to sites like edreams which are just scam sites. As long as they do they should just change the name to Skyscammer I was left stranded.,2.3473730087280273,0.05011412501335144,-2.5288612842559814
2023,1,"Skyscanner has been a really useful app until recently when they appeared to remove the feature which told you whether a checked bag was included or not in the price of each flight in your search results. Now, this does not appear. Useful data, removed for no apparent reason. I see they are very responsive to constructive criticism so I'm hoping someone sees this and reverts this terrible change! ///// Update: I will watch and hope that this feature is added back again as they suggest!",0.17072796821594238,0.10927867889404297,-0.2770494520664215
2023,2,"the price increased by about $6 when I went to pay it, without any reason I could find. not impressed at all !!",2.447749376296997,-0.29795825481414795,-2.2345380783081055
