year,rating,review
2023,5,"It's really mind-blowing how low of the prices the flights are for this app. What's even more amazing is the best deals seem to all come from this app. I've tried other flight websites and I stumbled upon you all, when I say absolute best prices that's exactly what I mean, especially if you are planning a trip in advance. Try it you won't ever be disappointed"
2023,4,"I really like the kayak app.. it's great for finding prices for many different booking sites. The problem is the search error issue still hasn't been fixed after all these years. Sometimes when I search flights it will only pull about 10 to 20% of the results. Instead of kayak saying ""search error"" it just displays the results with the majority of the flights missing. There's no easy way to get it to search again either, once it thinks it has all the results it just keeps showing the same."
2023,2,"The app no longer works for hotel searches. For the past 6 months everytime i search for a hotel, it floods my list with hotels that arent available for the selected dates. I never find one hotel available until i scroll past 100 unavailable listings. On top of this huge error/glitch, there is no way to quickly contact customer service, it is impossible to contact Kayak through their app, i spent an hour trying to find a ""contact"" button or phone number or email. Big waste of time over and over."
2022,3,"I find Kayak to have the most customizable flight alerts. It's still the only service I know of to offer flexible dates on searches. However, functionality is not great. For ex when i get push notifications for a low price, it doesn't bring me to the alert. I have to manually navigate to the saved search and sometimes i can't even find the low price i was alerted to. Plus there doesn't seem to be a way to opt out of email alerts."
2021,2,"In the past the app has been pretty accurate with prices. But there's a huge bug in the saved trips right now, where most of the prices in those lists are not refreshing. I have to click on the flight (if it even lets me, doesn't always) to go see what the actual price is, but even then I see the old price when I return to the saved trip. This started after this last update."
2019,5,"Does as well as any other app and better than any I've tried, including the over-advertised Trivago. Love the ability to track any flight (even see where it is enroute) and the ability to view all departures and arrivals for ALL flights at any airport. I also like the fly to anywhere feature that will show current best rates all over the country, displayed on a map. It also keeps track of all past trips and total miles travelled. I can't think of any negatives."
2021,5,"This app exceeds my expectations. I'm a first time traveler and Kayak has helped me stay organized, keep me up to date and everything in one place. Alot less stress on my part. Instead of trying to remember what app I used for what reservation and having to search through troves of emails I can just go to kayak and with a few clicks I have every important piece of information. Absolutely love it and recommend it. Especially for first time travelers who have no experience in this area."
2019,2,"It used to be really good, but recently it's just awful. They often direct you to book at shady sites, half the time the price they show isn't actually available when you try to book (just repeatedly keeps saying ""Booking failed"" and suggesting trying again, without ever actually updating the prices), it's incredibly slow, and arguably worst of all, doesn't show the best deals, even when Skyscanner or the airlines' own sites do."
2019,5,"i really like that you can have an open ended destination. i like to take short jaunts here and there, so it helps me pick where to go. I do wish there was a way to set up email alerts with more specific criteria. instead of staying within a certain radius, i would like to stay outside a radius - in my case, i don't want anything within 1K miles. but it is an easy app to use and the notifications are actually helpful and not overbearing in frequency."
2021,1,"This app is just rip-off garbage! First, it doesn't show you the final price of a hotel, so what you end up paying could easily be twice what's shown. Then the hotels this app shows aren't always there. Often, when you click on a hotel to see the ""deal"", the actual cost shown by the hotel is much more. The app doesn't let you filter, and the sort order is simply ""trust us"". This means they shows hotels that have paid a fee higher in the order. I've used the Kayak website before, which is why I downloaded and used the app on a recent trip to Florida (what a mistake!). The website is helpful and useful, and I'll probably continue to use it, but I uninstalled the app while on my trip. My advice - unless you have money falling out of your pockets, don't use this app."
2019,5,"Great app, best feature is that it shows total hotel cost including tax and fees that are typically hidden and hard to find. I wish it had the price chart feature and general dest like ""Europe"" similar to Google flights. What most travel companies dont understand, is that people typically had a target budget but not a specific destination. Imagine an app being able to search: Two week trip, must leave Fri, must be back on Sun, Non-stop flights, Europe, anytime in the next 6 months."
2019,1,"After the break and fix, it's back to unusable. UPDATE : Kayak must have put a fix in. Works great now, as always. I especially like the explorer function. Normally a great app, but the new update makes the app hang. When it eventually starts, I can't log in with email. The login with email button spins. Once Il actually put in my user name and password, but ""submit"" button was grayed out. Literally unusable."
2020,5,"Great little app that's always responsive when you need it. I always check for prices here before I purchase a trip, book a hotel or car rental. I have not used the trip activities section but I understand it is very extensive as well. I also love how easy it is to track all my trip related information no matter where I buy it from. Highly recommended."
2020,5,"Love the ""Trips"" option to email all the ticket confirmations to Kayak and have the app to organize and save them into an itenerary. So nice to have everything in one spot and have reminders of when to check-in. Kayak even told me about a delay and gate change before the airline contacted me. Great job Kayak! I have recommended the app to my friends/family who have multiple flights and events to keep up with. My favorite travel app! Please keep it free and have a transparent privacy policy."
2019,1,"Scam. Getting significantly higher prices for identical flights at the same time as my friend right next to me. Tested this several times: two phones, same search query, different results. I happen to fly a lot and spend more on airlines; and my prices come out over $200 higher than my friend's for the same international flights. Scammed me out of hundreds of dollars this way. Use Google flights through an anonymous browser window instead."
2023,1,"Fake prices, add taxes and $10 to every advertised price. Kayak advertises hotel rates at $58 but only for Agoda. Any other booking agent site add $40 so sorting from low to high does not work. When you click on it none of the rates are $58 it's 68 then add $10 for tax and hotel fees. What you usually get is a $78 hotel infested with bed bugs and claims of breakfast, a gym and pool when that is not the case. Agoda advertising rates on kayak are a joke good luck getting those."
2019,4,Great overall experience. But I can't stand that it tracks when you're looking for a certain flight and then keeps raising the price. It's very unprofessional to present a certain price and then change it to a higher one when you click it. If that continues I will book my flights elsewhere
2019,2,"The application has declined. The dates on the flight options show only 3 digits, not 4. So, November 21 shows as 11/2 not 11/22. You have to click on the option to know what date is indicated. Also, on the calendar, for various dates, such as +/- 3 days, the calendar shows brackets for only - 3 days. Finally, the application often fails to complete a search. It just ""times out."""
2023,1,"Went out of my way to actually give you a star. App been preforming really bad lately, slow and sluggish In the search bar it won't show you the country/airport you typed unless it's been searched before while the app was actually working, so basically you can't search new places or nothing if you cleared the app. Will change when fixed, but right now unusable Thanks"
