id,group,day,response
P1,A,43,82
P1,A,52,82
P1,A,57,79
P1,A,62,77
P1,A,64,75
P1,A,71,73
P1,A,72,72
P1,A,81,71
P1,A,97,71
P1,A,98,69
P2,B,10,71
P2,B,22,75
P2,B,40,74
P2,B,48,74
P2,B,56,76
P2,B,64,77
P2,B,74,80
P2,B,81,82
P2,B,84,82
P2,B,87,82
P3,A,19,79
P3,A,20,79
P3,A,21,79
P3,A,41,77
P3,A,52,77
P3,A,53,75
P3,A,65,74
P3,A,74,72
P3,A,97,72
P3,A,99,70
P4,B,13,70
P4,B,16,72
P4,B,20,73
P4,B,27,75
P4,B,29,78
P4,B,38,81
P4,B,42,83
P4,B,65,84
P4,B,68,84
P4,B,77,85
P5,B,19,67
P5,B,21,69
P5,B,30,72
P5,B,42,73
P5,B,45,78
P5,B,51,79
P5,B,52,81
P5,B,56,81
P5,B,79,82
P5,B,88,82
P6,B,14,68
P6,B,17,68
P6,B,22,72
P6,B,30,73
P6,B,34,73
P6,B,58,73
P6,B,62,76
P6,B,63,76
P6,B,75,76
P6,B,80,77
P7,B,8,63
P7,B,17,63
P7,B,23,66
P7,B,31,65
P7,B,33,67
P7,B,34,69
P7,B,35,70
P7,B,37,70
P7,B,72,71
P7,B,83,71
P8,B,23,64
P8,B,34,66
P8,B,41,66
P8,B,42,78
P8,B,49,83
P8,B,60,86
P8,B,63,87
P8,B,65,89
P8,B,69,92
P8,B,97,94
P9,B,18,65
P9,B,24,66
P9,B,26,69
P9,B,29,70
P9,B,39,70
P9,B,46,70
P9,B,60,71
P9,B,63,72
P9,B,68,73
P9,B,92,74
P10,A,25,80
P10,A,35,79
P10,A,51,78
P10,A,55,78
P10,A,63,78
P10,A,67,77
P10,A,86,76
P10,A,91,76
P10,A,96,69
P10,A,98,65
P11,A,21,82
P11,A,26,82
P11,A,51,79
P11,A,62,77
P11,A,66,77
P11,A,69,74
P11,A,72,70
P11,A,74,69
P11,A,90,68
P11,A,100,68
P12,B,9,63
P12,B,12,64
P12,B,19,66
P12,B,22,71
P12,B,24,71
P12,B,39,72
P12,B,46,73
P12,B,47,74
P12,B,65,75
P12,B,71,76
P13,B,2,63
P13,B,11,63
P13,B,24,65
P13,B,26,66
P13,B,27,67
P13,B,29,68
P13,B,30,70
P13,B,43,71
P13,B,57,71
P13,B,78,75
P14,B,19,66
P14,B,22,66
P14,B,35,69
P14,B,46,70
P14,B,50,71
P14,B,52,72
P14,B,58,72
P14,B,64,73
P14,B,65,79
P14,B,92,83
P15,B,13,65
P15,B,17,66
P15,B,18,67
P15,B,19,68
P15,B,21,70
P15,B,47,74
P15,B,59,75
P15,B,79,76
P15,B,86,76
P15,B,94,77
P16,A,28,83
P16,A,36,83
P16,A,72,79
P16,A,78,78
P16,A,79,77
P16,A,90,76
P16,A,91,76
P16,A,96,74
P16,A,97,73
P16,A,99,73
P17,A,25,79
P17,A,26,77
P17,A,52,75
P17,A,56,75
P17,A,69,75
P17,A,86,69
P17,A,87,65
P17,A,95,62
P17,A,96,62
P17,A,100,59
P18,B,5,66
P18,B,10,68
P18,B,45,69
P18,B,60,69
P18,B,65,72
P18,B,70,74
P18,B,73,75
P18,B,79,77
P18,B,88,80
P18,B,92,83
P19,A,17,79
P19,A,26,78
P19,A,37,77
P19,A,41,70
P19,A,63,69
P19,A,65,66
P19,A,86,66
P19,A,89,66
P19,A,96,65
P19,A,97,61
P20,A,43,80
P20,A,52,80
P20,A,53,79
P20,A,62,78
P20,A,68,78
P20,A,70,77
P20,A,75,76
P20,A,87,75
P20,A,93,70
P20,A,97,68
P21,A,32,84
P21,A,41,83
P21,A,45,83
P21,A,46,82
P21,A,65,82
P21,A,75,81
P21,A,93,79
P21,A,94,78
P21,A,98,77
P21,A,99,76
P22,B,8,66
P22,B,21,67
P22,B,22,67
P22,B,23,70
P22,B,25,70
P22,B,28,71
P22,B,44,77
P22,B,45,77
P22,B,51,78
P22,B,60,81
P23,A,12,80
P23,A,45,79
P23,A,54,77
P23,A,56,66
P23,A,58,66
P23,A,67,63
P23,A,71,62
P23,A,81,60
P23,A,99,60
